Iata,Icao,Region,Municipality,Name,IsHub,Latitude,Longitude,Elevation,Type,RunwayLength,RunwayCount,Slots,Passengers,WikiURL,Spalte1,Spalte2,Spalte3,Spalte4
LCE,MHLC,HN-AT,La Ceiba,Goloson International Airport,0,15.7425,-86.852997,39,M,9875,1,11,1937,http://en.wikipedia.org/wiki/Golos%C3%B3n_International_Airport,,,,
LCG,LECO,ES-GA,Culleredo,A Coru??a Airport,0,43.302101,-8.37726,326,M,6358,1,8,2229,http://en.wikipedia.org/wiki/A_Coru%C3%B1a_Airport,,,,
LCH,KLCH,US-LA,Lake Charles,Lake Charles Regional Airport,0,30.12610054,-93.22329712,15,M,6500,2,12,2229,http://en.wikipedia.org/wiki/Lake_Charles_Regional_Airport,,,,
LCJ,EPLL,PL-LD,?ü??d??,?ü??d?? W?éadys?éaw Reymont Airport,0,51.72190094,19.3980999,604,M,8022,2,12,1729,http://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_W%C5%82adys%C5%82aw_Reymont_Airport,,,,
LCX,ZSLD,CN-35,Longyan,Longyan Guanzhishan Airport,0,25.67469978,116.7470016,1225,M,2800,1,5,3115,http://en.wikipedia.org/wiki/Longyan_Guanzhishan_Airport,,,,
LCY,EGLC,GB-ENG,London,London City Airport,0,51.505299,0.055278,19,M,4948,1,7,5360,http://en.wikipedia.org/wiki/London_City_Airport,,,,
LDB,SBLO,BR-PR,Londrina,Governador Jos?? Richa Airport,0,-23.33359909,-51.13010025,1867,M,6890,1,8,1812,http://en.wikipedia.org/wiki/Londrina_Airport,,,,
LDE,LFBT,FR-N,Tarbes/Lourdes/Pyr??n??es,Tarbes-Lourdes-Pyr??n??es Airport,0,43.17869949,-0.006439,1260,M,9843,1,11,1979,http://en.wikipedia.org/wiki/Tarbes-Lourdes-Pyr%C3%A9n%C3%A9es_Airport,,,,
LDS,ZYLD,CN-23,Yichun,Lindu Airport,0,47.75205556,129.019125,791,M,3400,1,5,6315,http://en.wikipedia.org/wiki/Yichun_Lindu_Airport,,,,
LDY,EGAE,GB-NIR,Derry,City of Derry Airport,0,55.0428009,-7.161109924,22,M,6076,2,10,2041,http://en.wikipedia.org/wiki/City_of_Derry_Airport,,,,
LEA,YPLM,AU-WA,Exmouth,Learmonth Airport,0,-22.23559952,114.0889969,19,M,3047,1,5,6858,http://en.wikipedia.org/wiki/RAAF_Learmonth,,,,
LEB,KLEB,US-NH,Lebanon,Lebanon Municipal Airport,0,43.62609863,-72.30419922,603,M,5496,2,11,2312,http://en.wikipedia.org/wiki/Lebanon_Municipal_Airport_(New_Hampshire),,,,
LEH,LFOH,FR-Q,Le Havre/Octeville,Le Havre Octeville Airport,0,49.53390121,0.088055998,313,M,7546,1,9,2375,http://en.wikipedia.org/wiki/Le_Havre_Octeville_Airport,,,,
LEI,LEAM,ES-AN,Almer?¡a,Almer?¡a International Airport,0,36.84389877,-2.370100021,70,M,10499,1,11,2041,http://en.wikipedia.org/wiki/Almer%C3%ADa_International_Airport,,,,
LEQ,EGHC,GB-ENG,Land's End,Land's End Airport,0,50.102798,-5.67056,398,M,2598,4,12,1812,http://en.wikipedia.org/wiki/Land%27s_End_Airport,,,,
LER,YLST,AU-WA,,Leinster Airport,0,-27.84329987,120.7030029,1631,M,1800,1,5,6522,http://en.wikipedia.org/wiki/Leinster_Airport,,,,
LET,SKLT,CO-AMA,Leticia,Alfredo V?ísquez Cobo International Airport,0,-4.19355,-69.9432,277,M,6168,1,8,1687,http://en.wikipedia.org/wiki/V%C3%A1squez_Cobo_International_Airport,,,,
LEX,KLEX,US-KY,Lexington,Blue Grass Airport,0,38.03649902,-84.60590363,979,L,7003,1,9,4666,http://en.wikipedia.org/wiki/Blue_Grass_Airport,,,,
LFQ,ZBLF,CN-14,Linfen,Linfen Qiaoli Airport,0,36.132629,111.641236,1483,M,2600,1,5,5089,https://en.wikipedia.org/wiki/Linfen_Qiaoli_Airport,,,,
LFW,DXXX,TG-M,Lom??,Lom??-Tokoin Airport,0,6.165609837,1.254510045,72,M,9847,1,11,1916,http://en.wikipedia.org/wiki/Lom%C3%A9-Tokoin_Airport,,,,
LGB,KLGB,US-CA,Long Beach,Long Beach /Daugherty Field/ Airport,0,33.81769943,-118.1520004,60,M,10000,5,22,2125,http://en.wikipedia.org/wiki/Long_Beach_Airport,,,,
LGI,MYLD,BS-LI,Deadman's Cay,Deadman's Cay Airport,0,23.17900085,-75.09359741,9,M,4000,1,5,2229,http://en.wikipedia.org/wiki/Deadman's_Cay_Airport,,,,
LGP,RPLP,PH-ALB,Legazpi City,Legazpi City International Airport,0,13.1575,123.735,66,M,7480,1,9,2166,http://en.wikipedia.org/wiki/Legazpi_Airport,,,,
LHE,OPLA,PK-PB,Lahore,Alama Iqbal International Airport,0,31.52160072,74.4036026,712,M,11024,2,15,5600,http://en.wikipedia.org/wiki/Allama_Iqbal_International_Airport,,,,
LHS,SAVH,AR-Z,Las Heras,Las Heras Airport,0,-46.53829956,-68.96530151,1082,M,4593,1,6,1958,0,,,,
LHW,ZLLL,CN-62,Lanzhou,Lanzhou Zhongchuan Airport,0,36.51520157,103.6200027,6388,M,3600,1,5,4494,http://en.wikipedia.org/wiki/Lanzhou_Airport,,,,
LIF,NWWL,NC-U-A,Lifou,Lifou Airport,0,-20.77479935,167.2400055,92,M,3609,1,6,2312,http://en.wikipedia.org/wiki/Lifou_Airport,,,,
LIG,LFBL,FR-L,Limoges/Bellegarde,Limoges Airport,0,45.8628006,1.179440022,1300,M,8202,1,10,2208,http://en.wikipedia.org/wiki/Limoges_-_Bellegarde_Airport,,,,
LIH,PHLI,US-HI,Lihue,Lihue Airport,0,21.97599983,-159.3390045,153,M,6500,2,11,2340,http://en.wikipedia.org/wiki/Lihu'e_Airport,,,,
LIL,LFQQ,FR-O,Lille/Lesquin,Lille-Lesquin Airport,0,50.563332,3.086886,157,M,9268,2,13,4416,http://en.wikipedia.org/wiki/Lille_Lesquin_International_Airport,,,,
LIO,MRLM,CR-L,Puerto Limon,Limon International Airport,0,9.957960129,-83.02200317,7,M,5906,1,7,1937,http://en.wikipedia.org/wiki/Lim%C3%B3n_International_Airport,,,,
LIR,MRLB,CR-G,Liberia,Daniel Oduber Quiros International Airport,0,10.59329987,-85.54440308,270,M,9022,1,11,2323,http://en.wikipedia.org/wiki/Daniel_Oduber_Quir%C3%B3s_International_Airport,,,,
LJG,ZPLJ,CN-53,Lijiang,Lijiang Airport,0,26.68000031,100.2460022,0,M,3000,1,5,6059,http://en.wikipedia.org/wiki/Lijiang_Sanyi_Airport,,,,
LJU,LJLJ,SI-061,Ljubljana,Ljubljana Jo??e Pu?ìnik Airport,0,46.223701,14.4576,1273,L,10827,1,12,5912,http://en.wikipedia.org/wiki/Ljubljana_Jo%C5%BEe_Pu%C4%8Dnik_Airport,,,,
LKG,HKLK,KE-700,Lokichoggio,Lokichoggio Airport,0,4.204120159,34.34820175,2074,M,6195,1,7,2229,http://en.wikipedia.org/wiki/Lokichogio_Airport,,,,
LKL,ENNA,NO-20,Lakselv,Banak Airport,0,70.06880188,24.9734993,25,M,9147,1,10,1708,http://en.wikipedia.org/wiki/Lakselv_Airport%2C_Banak,,,,
LKN,ENLK,NO-18,Leknes,Leknes Airport,0,68.15249634,13.6093998,78,M,2881,1,4,2208,http://en.wikipedia.org/wiki/Leknes_Airport,,,,
LLA,ESPA,SE-BD,Lule?Ñ,Lule?Ñ Airport,0,65.54380035,22.12199974,65,L,10990,1,12,4333,http://en.wikipedia.org/wiki/Lule%C3%A5_Airport,,,,
LLF,ZGLG,CN-43,Yongzhou,Lingling Airport,0,26.338661,111.610043,340,M,3300,1,5,2885,http://en.wikipedia.org/wiki/Yongzhou_Lingling_Airport,,,,
LLV,ZBLL,CN-61,L??liang,L??liang Airport,0,37.683333,111.142778,0,M,2600,1,5,5405,https://en.wikipedia.org/wiki/L%C3%BCliang_Airport,,,,
LLW,FWKI,MW-LI,Lilongwe,Lilongwe International Airport,0,-13.7894001,33.78099823,4035,M,11614,1,12,2312,http://en.wikipedia.org/wiki/Lilongwe_International_Airport,,,,
LMM,MMLM,MX-SIN,Los Mochis,Valle del Fuerte International Airport,0,25.68519974,-109.0810013,16,M,6562,1,8,2104,http://en.wikipedia.org/wiki/Federal_del_Valle_del_Fuerte_International_Airport,,,,
LMP,LICD,IT-82,Lampedusa,Lampedusa Airport,0,35.497898,12.6181,70,M,5906,1,7,2000,http://en.wikipedia.org/wiki/Lampedusa_Airport,,,,
LMT,KLMT,US-OR,Klamath Falls,Crater Lake-Klamath Regional Airport,0,42.156101,-121.733002,4095,M,10301,3,18,2187,http://en.wikipedia.org/wiki/Klamath_Falls_Airport,,,,
LNJ,ZPLC,CN-53,Lincang,Lintsang Airfield,0,23.73810005,100.0250015,6230,M,3500,1,5,8933,http://en.wikipedia.org/wiki/Lincang_Airport,,,,
LNK,KLNK,US-NE,Lincoln,Lincoln Airport,0,40.85100174,-96.75920105,1219,M,12901,3,20,1750,http://en.wikipedia.org/wiki/Lincoln_Airport_%28Nebraska%29,,,,
LNL,ZLLN,CN-62,Longnan,Longnan Chengzhou Airport,0,33.788,105.797,3707,M,2800,1,5,3618,https://en.wikipedia.org/wiki/Longnan_Chengzhou_Airport,,,,
LNO,YLEO,AU-WA,Leonora,Leonora Airport,0,-28.87809944,121.3150024,1217,M,2018,2,5,1797,http://en.wikipedia.org/wiki/Leonora_Airport,,,,
LNS,KLNS,US-PA,Lancaster,Lancaster Airport,0,40.12170029,-76.2960968,403,M,6934,2,12,2041,http://en.wikipedia.org/wiki/Lancaster_Airport_(Pennsylvania),,,,
LNY,PHNY,US-HI,Lanai City,Lanai Airport,0,20.78560066,-156.951004,1308,M,5001,1,7,1791,http://en.wikipedia.org/wiki/Lanai_Airport,,,,
LNZ,LOWL,AT-4,Linz,Linz H??rsching Airport,0,48.2332,14.1875,980,M,9843,2,13,2270,http://en.wikipedia.org/wiki/Linz_Airport,,,,
LOV,MMMV,MX-COA,,Monclova International Airport,0,26.9557,-101.470001,1864,M,6890,2,10,1770,http://en.wikipedia.org/wiki/Venustiano_Carranza_International_Airport,,,,
LPF,ZUPS,CN-52,Liupanshui,Liupanshui Yuezhao Airport,0,26.609417,104.979,0,M,2500,1,5,4476,https://en.wikipedia.org/wiki/Liupanshui_Yuezhao_Airport,,,,
LPI,ESSL,SE-E,Link??ping,Link??ping City Airport,0,58.40620041,15.68050003,172,M,6989,1,8,2354,http://en.wikipedia.org/wiki/Link%C3%B6ping_SAAB_Airport,,,,
LPK,UUOL,RU-LIP,Lipetsk,Lipetsk Airport,0,52.70280075,39.53779984,584,M,3500,1,5,5350,http://en.wikipedia.org/wiki/Lipetsk_Airport,,,,
LPL,EGGP,GB-ENG,Liverpool,Liverpool John Lennon Airport,0,53.33359909,-2.849720001,80,L,7500,1,9,11116,http://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,,,,
LPX,EVLA,LV-LE,Liep?üja,Liep?üja International Airport,0,56.51750183,21.09690094,16,M,6568,1,8,1916,http://en.wikipedia.org/wiki/Liep%C4%81ja_International_Airport,,,,
LPY,LFHP,FR-C,Le Puy/Loudes,Le Puy-Loudes Airport,0,45.08069992,3.7628901,2731,M,4570,2,9,2270,http://en.wikipedia.org/wiki/Le_Puy_-_Loudes_Airport,,,,
LRD,KLRD,US-TX,Laredo,Laredo International Airport,0,27.54380035,-99.46160126,508,M,8236,3,16,1812,http://en.wikipedia.org/wiki/Laredo_International_Airport,,,,
LRE,YLRE,AU-QLD,Longreach,Longreach Airport,0,-23.43420029,144.2799988,627,M,1936,2,5,3329,http://en.wikipedia.org/wiki/Longreach_Airport,,,,
LRH,LFBH,FR-T,La Rochelle/?Äle de R??,La Rochelle-?Äle de R?? Airport,0,46.17919922,-1.195279956,74,M,7398,1,9,2062,http://en.wikipedia.org/wiki/La_Rochelle_-_%C3%8Ele_de_R%C3%A9_Airport,,,,
LRM,MDLR,DO-12,La Romana,Casa De Campo International Airport,0,18.45070076,-68.91179657,240,M,9676,1,11,2375,http://en.wikipedia.org/wiki/La_Romana_International_Airport,,,,
LRR,OISL,IR-14,Lar,Lar Airport,0,27.67469978,54.38330078,2641,M,10334,1,11,2187,http://en.wikipedia.org/wiki/Larestan_International_Airport,,,,
LRT,LFRH,FR-E,Lorient/Lann/Bihou??,Lorient South Brittany (Bretagne Sud) Airport,0,47.76060104,-3.440000057,160,M,7884,2,12,1854,http://en.wikipedia.org/wiki/Lorient_South_Brittany_Airport,,,,
LSC,SCSE,CL-CO,La Serena-Coquimbo,La Florida Airport,0,-29.916201,-71.199501,481,M,6358,1,8,1958,http://en.wikipedia.org/wiki/La_Florida_Airport_(Chile),,,,
LSE,KLSE,US-WI,La Crosse,La Crosse Municipal Airport,0,43.879002,-91.256699,655,M,8537,3,16,2229,http://en.wikipedia.org/wiki/La_Crosse_Municipal_Airport,,,,
LSI,EGPB,GB-SCT,Lerwick,Sumburgh Airport,0,59.87889862,-1.295560002,20,M,4678,3,12,1750,http://en.wikipedia.org/wiki/Sumburgh_Airport,,,,
LST,YMLT,AU-TAS,Launceston,Launceston Airport,0,-41.54529953,147.2140045,562,M,1981,3,5,6243,http://en.wikipedia.org/wiki/Launceston_Airport,,,,
LSY,YLIS,AU-NSW,Lismore,Lismore Airport,0,-28.83029938,153.2599945,35,M,1647,1,5,5796,http://en.wikipedia.org/wiki/Lismore_Airport,,,,
LTD,HLTD,LY-NL,Ghadames,Ghadames East Airport,0,30.15169907,9.715310097,1122,M,11811,2,15,1750,http://en.wikipedia.org/wiki/Ghadames_Airport,,,,
LTK,OSLK,SY-LA,Latakia,Bassel Al-Assad International Airport,0,35.40110016,35.94869995,157,L,9175,1,10,3750,http://en.wikipedia.org/wiki/Bassel_Al-Assad_International_Airport,,,,
LTN,EGGW,GB-ENG,London,London Luton Airport,0,51.87469864,-0.368333012,526,L,7086,1,9,18900,http://en.wikipedia.org/wiki/London_Luton_Airport,,,,
LTO,MMLT,MX-BCS,Loreto,Loreto International Airport,0,25.98920059,-111.3479996,34,M,7218,1,8,1812,http://en.wikipedia.org/wiki/Loreto_International_Airport,,,,
LTX,SELT,EC-X,Latacunga,Cotopaxi International Airport,0,-0.906832993,-78.61579895,9205,L,12117,1,13,3833,http://es.wikipedia.org/wiki/Aeropuerto_Internacional_Cotopaxi,,,,
LUD,FYLZ,NA-KA,Luderitz,Luderitz Airport,0,-26.68740082,15.24289989,457,M,6004,2,10,2083,http://en.wikipedia.org/wiki/L%C3%BCderitz_Airport,,,,
LUG,LSZA,CH-TI,Lugano,Lugano Airport,0,46.00429916,8.910579681,915,M,4429,1,6,1937,http://en.wikipedia.org/wiki/Lugano_Airport,,,,
LUM,ZPMS,CN-53,Luxi,Mangshi Airport,0,24.4011,98.5317,2890,M,2800,1,5,2714,,,,,
LUQ,SAOU,AR-D,San Luis,Brigadier Mayor D Cesar Raul Ojeda Airport,0,-33.27320099,-66.35639954,2328,M,9678,1,10,2187,0,,,,
LUX,ELLX,LU-L,Luxembourg,Luxembourg-Findel International Airport,0,49.6233333,6.2044444,1234,L,13123,1,14,13270,http://en.wikipedia.org/wiki/Luxembourg-Findel_International_Airport,,,,
LVI,FLLI,ZM-07,Livingstone,Livingstone Airport,0,-17.82180023,25.8227005,3302,M,7520,2,11,1666,http://en.wikipedia.org/wiki/Livingstone_Airport,,,,
LVO,YLTN,AU-WA,,Laverton Airport,0,-28.61359978,122.4240036,1530,M,1800,2,5,3400,http://en.wikipedia.org/wiki/Laverton_Airport,,,,
LWS,KLWS,US-ID,Lewiston,Lewiston Nez Perce County Airport,0,46.37450027,-117.0149994,1442,M,6511,2,12,1875,http://en.wikipedia.org/wiki/Lewiston-Nez_Perce_County_Airport,,,,
LWT,KLWT,US-MT,Lewistown,Lewistown Municipal Airport,0,47.04930115,-109.4670029,4170,M,6100,3,13,1812,http://en.wikipedia.org/wiki/Lewistown_Municipal_Airport,,,,
LXA,ZULS,CN-54,Lhasa,Lhasa Gonggar Airport,0,29.29780006,90.91190338,11713,M,4000,2,5,3185,http://en.wikipedia.org/wiki/Lhasa_Gonggar_Airport,,,,
LXR,HELX,EG-KN,Luxor,Luxor International Airport,0,25.671,32.7066,294,L,9843,1,11,4750,http://en.wikipedia.org/wiki/Luxor_International_Airport,,,,
LYA,ZHLY,CN-41,Luoyang,Luoyang Airport,0,34.74110031,112.3880005,840,M,3300,1,5,5554,http://en.wikipedia.org/wiki/Luoyang_Beijiao_Airport,,,,
LYC,ESNL,SE-AC,,Lycksele Airport,0,64.5483017,18.71619987,705,M,6564,1,8,1791,http://en.wikipedia.org/wiki/Lycksele_Airport,,,,
LYG,ZSLG,CN-32,Lianyungang,Lianyungang Airport,0,34.571667,118.873611,0,M,3400,1,5,7236,http://en.wikipedia.org/wiki/Lianyungang_Airport,,,,
LYH,KLYH,US-VA,Lynchburg,Lynchburg Regional Preston Glenn Field,0,37.3266983,-79.20040131,938,M,5799,2,11,1958,http://en.wikipedia.org/wiki/Lynchburg_Regional_Airport,,,,
LYI,ZSLY,CN-37,Linyi,Shubuling Airport,0,35.04610062,118.4120026,0,M,3500,1,5,3115,http://en.wikipedia.org/wiki/Linyi_Airport,,,,
LYP,OPFA,PK-PB,Faisalabad,Faisalabad International Airport,0,31.36499977,72.99479675,591,M,9272,1,10,1666,http://en.wikipedia.org/wiki/Faisalabad_International_Airport,,,,
LZC,MMLC,MX-MIC,L?ízaro C?írdenas,L?ízaro C?írdenas Airport,0,18.00169945,-102.2210007,39,M,4900,1,6,2083,http://en.wikipedia.org/wiki/L%C3%A1zaro_C%C3%A1rdenas_Airport,,,,
LZH,ZGZH,CN-45,Liuzhou,Liuzhou Bailian Airport,0,24.2075,109.390999,295,M,3100,1,5,3937,https://en.wikipedia.org/wiki/Liuzhou_Bailian_Airport,,,,
LZN,RCFG,TW-X-LK,Nangang Island,Matsu Nangan Airport,0,26.1598,119.958,232,M,5180,1,7,2125,http://en.wikipedia.org/wiki/Matsu_Nangan_Airport,,,,
LZO,ZULZ,CN-51,Luzhou,Luzhou Airport,0,28.85219955,105.3929977,0,M,3000,1,5,5574,http://en.wikipedia.org/wiki/Luzhou_Airport,,,,
LZY,ZUNZ,CN-54,Nyingchi,Nyingchi Airport,0,29.30330086,94.33529663,9675,M,3000,1,5,6052,http://en.wikipedia.org/wiki/Nyingchi_Airport,,,,
MAB,SBMA,BR-PA,Marab?í,Jo?úo Correa da Rocha Airport,0,-5.368589878,-49.13800049,357,M,6562,1,8,2291,http://en.wikipedia.org/wiki/Marab%C3%A1_Airport,,,,
MAF,KMAF,US-TX,Midland,Midland International Airport,0,31.94249916,-102.2020035,2871,M,9501,4,19,1770,http://en.wikipedia.org/wiki/Midland_International_Airport,,,,
MAG,AYMD,PG-MPM,Madang,Madang Airport,0,-5.207079887,145.7890015,20,M,5174,1,7,2125,http://en.wikipedia.org/wiki/Madang_Airport,,,,
MAH,LEMH,ES-PM,Menorca Island,Menorca Airport,0,39.86259842,4.218649864,302,M,7710,2,12,3825,http://en.wikipedia.org/wiki/Menorca_Airport,,,,
MAJ,PKMJ,MH-MAJ,Majuro Atoll,Marshall Islands International Airport,0,7.064760208,171.2720032,6,M,7897,1,9,2083,http://en.wikipedia.org/wiki/Marshall_Islands_International_Airport,,,,
MAK,HSSM,SS-23,Malakal,Malakal Airport,0,9.558970451,31.6522007,1291,M,6562,1,8,2395,http://en.wikipedia.org/wiki/Malakal_Airport,,,,
MAM,MMMA,MX-TAM,Matamoros,General Servando Canales International Airport,0,25.76989937,-97.52529907,25,M,7546,1,9,1791,http://en.wikipedia.org/wiki/General_Servando_Canales_International_Airport,,,,
MAO,SBEG,BR-AM,Manaus,Eduardo Gomes International Airport,0,-3.038609982,-60.04970169,264,M,8858,1,11,3233,http://en.wikipedia.org/wiki/Eduardo_Gomes_International_Airport,,,,
MAS,AYMO,PG-MRL,Manus Island,Momote Airport,0,-2.06189,147.423996,12,M,6136,1,8,1729,http://en.wikipedia.org/wiki/Momote_Airport,,,,
MAU,NTTP,PF-U-A,,Maupiti Airport,0,-16.42650032,-152.2440033,15,M,3135,1,5,1791,http://en.wikipedia.org/wiki/Maupiti_Airport,,,,
MBD,FAMM,ZA-NW,Mafeking,Mmabatho International Airport,0,-25.79840088,25.54800034,4181,M,15157,1,15,1916,http://en.wikipedia.org/wiki/Mmabatho_International_Airport,,,,
MBE,RJEB,JP-01,Monbetsu,Monbetsu Airport,0,44.30390167,143.404007,80,M,6562,1,8,1875,http://en.wikipedia.org/wiki/Monbetsu_Airport,,,,
MBI,HTGW,TZ-14,Mbeya,Songwe Airport,0,-8.919942,33.273981,4412,M,10925,1,11,2145,https://en.wikipedia.org/wiki/Songwe_Airport,,,,
MBJ,MKJS,JM-08,Montego Bay,Sangster International Airport,0,18.50370026,-77.91339874,4,M,8735,1,11,3796,http://en.wikipedia.org/wiki/Sangster_International_Airport,,,,
MBT,RPVJ,PH-MAS,Masbate,Moises R. Espinosa Airport,0,12.369682,123.630095,49,M,4199,1,6,1770,http://en.wikipedia.org/wiki/Masbate_Airport,,,,
MBX,LJMB,SI-070,,Maribor Airport,0,46.47990036,15.68610001,876,M,8202,2,12,1666,http://en.wikipedia.org/wiki/Maribor_Airport,,,,
MCG,PAMC,US-AK,McGrath,McGrath Airport,0,62.95289993,-155.6060028,341,M,5936,2,9,2125,http://en.wikipedia.org/wiki/McGrath_Airport,,,,
MCN,KMCN,US-GA,Macon,Middle Georgia Regional Airport,0,32.69279861,-83.64920044,354,M,6501,2,12,2291,http://en.wikipedia.org/wiki/Middle_Georgia_Regional_Airport,,,,
MCP,SBMQ,BR-AP,Macap?í,Alberto Alcolumbre Airport,0,0.050664,-51.07220078,56,M,6890,1,8,2375,http://en.wikipedia.org/wiki/Macap%C3%A1_International_Airport,,,,
MCX,URML,RU-DA,Makhachkala,Uytash Airport,0,42.81679916,47.65230179,12,M,2648,2,5,1760,http://en.wikipedia.org/wiki/Uytash_airport,,,,
MCY,YBSU,AU-QLD,Maroochydore,Sunshine Coast Airport,0,-26.6033,153.091003,15,M,3100,1,5,4142,http://en.wikipedia.org/wiki/Sunshine_Coast_Airport,,,,
MCZ,SBMO,BR-AL,Macei??,Zumbi dos Palmares Airport,0,-9.510809898,-35.79169846,387,M,8537,1,10,1833,http://en.wikipedia.org/wiki/Zumbi_dos_Palmares_International_Airport,,,,
MDE,SKRG,CO-ANT,Medell?¡n,Jose Maria C??rdova International Airport,0,6.16454,-75.4231,6955,M,11483,1,13,3060,http://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_C%C3%B3rdova_International_Airport,,,,
MDG,ZYMD,CN-23,Mudanjiang,Mudanjiang Hailang International Airport,0,44.52410126,129.5690002,883,M,2600,1,5,4147,http://en.wikipedia.org/wiki/Mudanjiang_Airport,,,,
MDI,DNMK,NG-BE,Makurdi,Makurdi Airport,0,7.70388,8.61394,371,M,9830,1,10,2125,https://en.wikipedia.org/wiki/Makurdi_Airport,,,,
MDK,FZEA,CD-EQ,Mbandaka,Mbandaka Airport,0,0.022600001,18.2887001,1040,M,7223,1,8,1791,http://en.wikipedia.org/wiki/Mbandaka_Airport,,,,
MDQ,SAZM,AR-B,Mar del Plata,?üstor Piazzola International Airport,0,-37.9342,-57.5733,72,M,7218,1,9,2187,http://en.wikipedia.org/wiki/%C3%81stor_Piazzola_International_Airport,,,,
MDT,KMDT,US-PA,Harrisburg,Harrisburg International Airport,0,40.19350052,-76.76339722,310,M,10001,1,12,2291,http://en.wikipedia.org/wiki/Harrisburg_International_Airport,,,,
MDU,AYMN,PG-SHM,Mendi,Mendi Airport,0,-6.14774,143.656998,5680,M,4411,1,6,2145,http://en.wikipedia.org/wiki/Mendi_Airport,,,,
MDZ,SAME,AR-M,Mendoza,El Plumerillo Airport,0,-32.83169937,-68.79290009,2310,M,9301,1,11,2250,http://en.wikipedia.org/wiki/Governor_Francisco_Gabrielli_International_Airport,,,,
MEA,SBME,BR-RJ,Maca??,Maca?? Airport,0,-22.34300041,-41.76599884,8,M,3937,1,6,2395,http://en.wikipedia.org/wiki/Maca%C3%A9_Airport,,,,
MEB,YMEN,AU-VIC,,Melbourne Essendon Airport,0,-37.7281,144.901993,282,M,1921,2,5,7232,http://en.wikipedia.org/wiki/Essendon_Airport,,,,
MEC,SEMT,EC-M,Manta,Eloy Alfaro International Airport,0,-0.946078002,-80.67880249,48,M,9383,1,11,1770,http://en.wikipedia.org/wiki/Manta_Air_Base,,,,
MEE,NWWR,NC-U-A,Mar??,Mar?? Airport,0,-21.4817009,168.0379944,141,M,3281,1,5,2104,http://en.wikipedia.org/wiki/Mar%C3%A9_Airport,,,,
MEG,FNMA,AO-MAL,Malanje,Malanje Airport,0,-9.525090218,16.31240082,3868,M,7283,1,8,1770,http://en.wikipedia.org/wiki/Malanje_Airport,,,,
MEH,ENMH,NO-20,Mehamn,Mehamn Airport,0,71.02970123,27.82670021,39,M,2887,1,5,2125,https://en.wikipedia.org/wiki/Mehamn_Airport,,,,
MEI,KMEI,US-MS,Meridian,Key Field,0,32.33259964,-88.75189972,297,M,10003,2,15,2270,http://en.wikipedia.org/wiki/Meridian_Regional_Airport,,,,
MEU,SBMD,BR-PA,Almeirim,Monte Dourado Airport,0,-0.889838994,-52.60219955,677,M,5906,1,7,2041,http://en.wikipedia.org/wiki/Monte_Dourado_Airport#Airlines_and_destinations,,,,
MFE,KMFE,US-TX,Mc Allen,Mc Allen Miller International Airport,0,26.17580032,-98.23860168,107,M,7120,2,12,2104,http://en.wikipedia.org/wiki/McAllen-Miller_International_Airport,,,,
MFG,OPMF,PK-JK,Muzaffarabad,Muzaffarabad Airport,0,34.3390007,73.50859833,2691,M,2960,1,5,2187,http://en.wikipedia.org/wiki/Muzaffarabad_Airport,,,,
MFK,RCMT,TW-X-LK,Beigan Island,Matsu Beigan Airport,0,26.224199,120.002998,41,M,3773,1,6,2291,http://en.wikipedia.org/wiki/Matsu_Beigan_Airport,,,,
MFR,KMFR,US-OR,Medford,Rogue Valley International Medford Airport,0,42.37419891,-122.8730011,1335,M,8800,2,14,2375,http://en.wikipedia.org/wiki/Rogue_Valley_International-Medford_Airport,,,,
MFU,FLMF,ZM-03,Mfuwe,Mfuwe Airport,0,-13.25889969,31.93659973,1853,M,7218,1,9,2229,http://en.wikipedia.org/wiki/Mfuwe_Airport,,,,
MGA,MNMG,NI-MN,Managua,Augusto C. Sandino (Managua) International Airport,0,12.14150047,-86.16819763,194,M,8012,1,10,2145,http://en.wikipedia.org/wiki/Augusto_C._Sandino_International_Airport,,,,
MGF,SBMG,BR-PR,Maring?í,Regional de Maring?í - S?¡lvio Nane Junior Airport,0,-23.4794445,-52.01222229,1788,M,6890,1,8,1750,http://en.wikipedia.org/wiki/Maring%C3%A1_Domestic_Airport,,,,
MGH,FAMG,ZA-NL,Margate,Margate Airport,0,-30.85740089,30.34300041,495,M,4495,1,6,2145,http://en.wikipedia.org/wiki/Margate_Airport,,,,
MGQ,HCMM,SO-BN,Mogadishu,Aden Adde International Airport,0,2.01444006,45.30469894,29,M,10335,1,11,1895,http://en.wikipedia.org/wiki/Aden_Adde_International_Airport,,,,
MGW,KMGW,US-WV,Morgantown,Morgantown Municipal Walter L. Bill Hart Field,0,39.64289856,-79.91629791,1248,M,5199,2,11,2104,http://en.wikipedia.org/wiki/Morgantown_Municipal_Airport,,,,
MHG,EDFM,DE-BW,Mannheim,Mannheim-City Airport,0,49.473057,8.514167,308,M,3497,2,8,2312,http://en.wikipedia.org/wiki/Mannheim_City_Airport,,,,
MHH,MYAM,BS-MH,Marsh Harbour,Leonard M Thompson International Airport,0,26.5114,-77.083503,6,M,4998,1,7,2333,http://en.wikipedia.org/wiki/Marsh_Harbour_Airport,,,,
